Job_ID,Bank_Name,Job_Title,Cluster_Name,The_amount_of_word_count
0,Morgan Stanley,Registered Associate,trade,20,Fintech
1,Morgan Stanley,Portfolio Associate,trade,21,Fintech
2,Morgan Stanley,Fixed Income Risk & Analytics Strategist,trade,18,Fintech
3,Morgan Stanley,Client Service Associate*,trade,21,Fintech
4,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
5,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
6,Morgan Stanley,Credit Risk Analyst - CCSF & Illiquid Collateral Lending,trade,52,Fintech
7,Morgan Stanley,State and Local Tax Manager,Planning,48,Fintech
8,Morgan Stanley,Consulting Group Analyst,trade,15,Fintech
9,Morgan Stanley,Equity Trade Surveillance and Oversight Vice President,trade,37,Fintech
10,Morgan Stanley,Equity Trade Surveillance and Oversight,trade,35,Fintech
11,Morgan Stanley,Senior Registered Associate,trade,20,Fintech
12,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
13,Morgan Stanley,Client Service Associate*,trade,21,Fintech
14,Morgan Stanley,PWM Intern,Non-FinTech,13,Nonfintech
15,Morgan Stanley,Client Service Associate*,trade,21,Fintech
16,Morgan Stanley,College Summer Intern *,Non-FinTech,13,Nonfintech
17,Morgan Stanley,Registered Associate,trade,20,Fintech
18,Morgan Stanley,AIP Private Equity Fund of Fund Analyst - MSIM,trade,56,Fintech
19,Morgan Stanley,Cash Settlements Director,trade,43,Fintech
20,Morgan Stanley,International Equity Portfolio Specialist - MSIM,trade,31,Fintech
21,Morgan Stanley,Wealth Management Associate,trade,26,Fintech
22,Morgan Stanley,"Branch Manager, Producing",trade,29,Fintech
23,Morgan Stanley,Executive Assistant - Re-Engineering and Expense Management Third Party Program Management,Non-FinTech,14,Nonfintech
24,Morgan Stanley,Treasury Management - Project Management Office Associate,Lending ,41,Fintech
25,Morgan Stanley,Corporate Services - Global Head of Digital Creative - Vice President,trade,60,Fintech
26,Morgan Stanley,Research Management Data Analyst,trade,24,Fintech
27,Morgan Stanley,Global Travel Product Solutions & Innovation Manager - Vice President,Blockchain,60,Fintech
28,Morgan Stanley,Construction Sourcing Vice President - Americas,trade,18,Fintech
29,Morgan Stanley,Vendor Risk Program Support Analyst,trade,31,Fintech
30,Morgan Stanley,"Senior Manager, Third Party Program Management Tools, Process & Communications Support",trade,38,Fintech
31,Morgan Stanley,"Vice President, Vendor Risk Program Management",trade,47,Fintech
32,Morgan Stanley,"Risk Officer, Vice President",trade,43,Fintech
33,Morgan Stanley,Alternative Investment Services Specialist,Security,94,Fintech
34,Morgan Stanley,Investment Banking Vice President - Los Angeles,Payments ,17,Fintech
35,Morgan Stanley,Registered Associate,trade,20,Fintech
36,Morgan Stanley,Wealth Management Associate,trade,26,Fintech
37,Morgan Stanley,Trading Operations Vice President - Institutional Securities Group Product Operations,trade,85,Fintech
38,Morgan Stanley,Global Funding Controllers- Global Reporting,trade,31,Fintech
39,Morgan Stanley,MRD Commodities Risk Manager - Seeking Analyst or Associate,Blockchain,41,Fintech
40,Morgan Stanley,Institutional Securities Loan Product Controller,trade,45,Fintech
41,Morgan Stanley,Global Surveillance Change Management Professional,Blockchain,58,Fintech
42,Morgan Stanley,"Associate, SPG Middle Tier Developer",Blockchain,30,Fintech
43,Morgan Stanley,"Vice President, CCAR Modeling",Planning,24,Fintech
44,Morgan Stanley,Bank AML Project Management Associate,Lending ,18,Fintech
45,Morgan Stanley,Compliance Vice President,trade,39,Fintech
46,Morgan Stanley,Registered Associate - Great Lakes,trade,20,Fintech
47,Morgan Stanley,Registered Associate - Great Lakes,trade,20,Fintech
48,Morgan Stanley,Business Service Manager,Blockchain,24,Fintech
49,Morgan Stanley,Client Service Associate*,trade,21,Fintech
50,Morgan Stanley,Business Service Manager,Blockchain,24,Fintech
51,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
52,Morgan Stanley,Business Service Manager,Blockchain,24,Fintech
53,Morgan Stanley,Client Service Associate*,trade,21,Fintech
54,Morgan Stanley,Registered Associate - Great Lakes,trade,20,Fintech
55,Morgan Stanley,Associate - Regulatory Reporting,trade,44,Fintech
56,Morgan Stanley,"Investment Management Wealth Advisor Channel, Internal Sales Specialist",trade,39,Fintech
