List1,List2
a,blueprint
d,digital
d,identity
i,role
t,financial
i,institutions
o,building
n,industry
a,project
l,services
,community
,prepared
,collaboration
,deloitte
,part
,future
,series
,august
,foreword
,consistent
,world
,economic
,forum
,mission
,applying
,multi
,approach
,global
,impact
,creation
,report
,extensive
,outreach
,dialogue
,service
,innovation
,technology
,academia
,public
,sector
,numerous
,interview
,interactive
,session
,insight
,opportunity
,collaborative
,action
,sincere
,thanks
,subject
,matter
,expert
,unique
,particular
,member
,steering
,committee
,working
,group
,following
,page
,invaluable
,patient
,mentor
,grateful
,generous
,commitment
,consulting
,llp
,u
,s
,entity
,network
,capacity
,official
,professional
,advisor
,contact
,feedback
,question
,please
,r
,jesse
,mcwaters
,lead
,author
,org
,refers
,touche
,tohmatsu
,uk
,private
,company
,guarantee
,dttl
,firm
,separate
,independent
,doe
,client
,www
,com
,description
,legal
,structure
,subsidiary
,certain
,available
,rule
,regulation
,accounting
,publication
,general
,information
,mean
,rendering
,business
,investment
,tax
,other
,advice
,substitute
,basis
,decision
,making
,taking
,qualified
,responsible
,loss
,person
,acknowledgements
,members
,senior
,leader
,institution
,guidance
,oversight
,leadership
,disruptive
,bob
,contri
,vice
,chairman
,david
,craig
,president
,risk
,thomson
,reuters
,john
,flint
,chief
,executive
,officer
,retail
,banking
,wealth
,management
,hsbc
,kim
,hammond
,operating
,deutsche
,bank
,jason
,harris
,international
,property
,casualty
,xl
,michael
,harte
,operations
,barclays
,axel
,lehmann
,ubs
,anju
,patwardhan
,standard
,chartered
,puth
,cls
,william
,sheedy
,corporate
,strategy
,m
,government
,relations
,visa
,dietter
,wemmer
,allianz
,team
,framework
,shape
,strategic
,analysis
,tom
,brown
,partner
,paul
,hastings
,lena
,mass
,cresnik
,phd
,head
,product
,blackrock
,christof
,edel
,trading
,development
,rob
,galaski
,dorothy
,hillenius
,director
,ing
,marc
,lien
,lloyds
,matthew
,levin
,evp
,aon
,victor
,matarranz
,staff
,ceo
,santander
,reany
,svp
,solutions
,mastercard
,neil
,mumm
,vp
,max
,neukirchen
,jp
,morgan
,chase
,christine
,o
,connell
,robert
,palatnick
,managing
,architect
,dtcc
,kosta
,peric
,deputy
,poor
,bill
,melinda
,gates
,foundation
,justin
,pinkham
,payments
,peter
,rutland
,cvc
,capital
,partners
,nicolas
,skowronski
,julius
,baer
,huw
,van
,steenis
,research
,stanley
,colin
,teichholtz
,co
,fixed
,income
,pine
,river
,fabien
,vandenreydt
,markets
,innotribe
,swift
,institute
,list
,addition
,valuable
,perspective
,workshop
,alphabetical
,order
,mukul
,ahuja
,christoph
,albers
,alex
,batlin
,eric
,benz
,berg
,vikram
,bhat
,birch
,francis
,bouchard
,andre
,boysen
,brewer
,ben
,brophy
,preston
,byrne
,claire
,calmejane
,alicia
,carmona
,cary
,shawn
,chance
,emily
,clayton
,clippinger
,jeff
,coleman
,wayne
,crombie
,malcolm
,crompton
,stephen
,cross
,mark
,davies
,howard
,davis
,rachel
,dixon
,ivan
,djordjevic
,dombrowski
,jon
,duffy
,carlo
,duprel
,durand
,edge
,anna
,ewing
,daniel
,feichtinger
,canada
,credits
,consult
,hyperion
,hamilton
,place
,strategies
,securekey
,catapult
,entiq
,eris
,industries
,blockchain
,nymi
,england
,mit
,media
,lab
,ledger
,labs
,citigroup
,integrity
,avox
,ltd
,rbs
,transformation
